name,brand,price,link,color01
【NIKE 耐吉】休閒鞋 運動鞋 NIKE WAFFLE DEBUT 女鞋 多款任選(DH9523002&),NIKE ,"2,700",https://m.momoshop.com.tw/goods.momo?i_code=12015513&mdiv=searchEngine&oid=16_13&kw=%E5%A5%B3%E9%9E%8B,多色
【PUMA官方旗艦】Tori 休閒運動鞋 女性 38302602,PUMA,"2,280",https://m.momoshop.com.tw/goods.momo?i_code=11262894&mdiv=searchEngine&oid=22_16&kw=%E5%A5%B3%E9%9E%8B,白色
【FUFA Shoes 富發牌】超彈力輕量造型男女防水拖鞋 1SH01/2SH01(拖鞋/女鞋/男鞋/厚底拖鞋/台灣製/室外拖鞋),FUFA Shoes ,590,https://m.momoshop.com.tw/goods.momo?i_code=12049356&mdiv=searchEngine&oid=23_18&kw=%E5%A5%B3%E9%9E%8B,黑色白色綠色藍色粉紅色
【NIKE 耐吉】休閒鞋 TC 7900 女鞋 仙女鞋 厚底 增高 反光 米白 白(DD9682-100),NIKE ,"3,380",https://m.momoshop.com.tw/goods.momo?i_code=8503437&mdiv=searchEngine&oid=7_18&kw=%E5%A5%B3%E9%9E%8B,白色米色
【NIKE 耐吉】休閒鞋 熊貓 Dunk Low 女鞋 復刻 Black 黑 白(DD1503-101),NIKE ,"3,780",https://m.momoshop.com.tw/goods.momo?i_code=8409346&mdiv=searchEngine&oid=6_3&kw=%E5%A5%B3%E9%9E%8B,黑色白色
【K-SWISS】時尚運動鞋 Court Cameo/ Cardiff-男-六款任選(快倉限定),K-SWISS,"1,980",https://m.momoshop.com.tw/goods.momo?i_code=10938395&mdiv=searchEngine&oid=15_16&kw=%E5%A5%B3%E9%9E%8B,黑色白色橘色黃色綠色藍色粉紅色
【CONVERSE】CHUCK 70 HACKED HEEL OX 低筒 休閒鞋 男鞋 女鞋 解構鞋 黑色(A07984C),CONVERSE,"2,345",https://m.momoshop.com.tw/goods.momo?i_code=12116087&mdiv=searchEngine&oid=26_1&kw=%E5%A5%B3%E9%9E%8B,黑色
【NEW BALANCE】NB 跑鞋/運動鞋/慢跑鞋/運動鞋_女鞋_白色_W860L13-D,NEW BALANCE,"3,026",https://m.momoshop.com.tw/goods.momo?i_code=11282083&mdiv=searchEngine&oid=28_14&kw=%E5%A5%B3%E9%9E%8B,白色
【NIKE 耐吉】REVOLUTION 6 NN 休閒鞋 慢跑鞋 運動 女鞋 黑色(DC3729003),NIKE ,"1,111",https://m.momoshop.com.tw/goods.momo?i_code=11668948&mdiv=searchEngine&oid=14_14&kw=%E5%A5%B3%E9%9E%8B,黑色
【NEW BALANCE】NB 運動鞋/復古鞋_中性_白綠色_BB550VTC-D,NEW BALANCE,"2,944",https://m.momoshop.com.tw/goods.momo?i_code=11006901&mdiv=searchEngine&oid=27_2&kw=%E5%A5%B3%E9%9E%8B,白色綠色
【ecco】丹麥舒適真皮男女休閒鞋/正裝鞋(MOMO獨家限定),ecco,"2,988",https://m.momoshop.com.tw/goods.momo?i_code=12252846&mdiv=searchEngine&oid=13_1&kw=%E5%A5%B3%E9%9E%8B,多色
【MLB】厚底老爹鞋 增高鞋 Big Ball Chunky系列(3ASHC2B2N.3ASHCS12N多款任選),MLB,"3,490",https://m.momoshop.com.tw/goods.momo?i_code=10712248&mdiv=searchEngine&oid=2_10&kw=%E5%A5%B3%E9%9E%8B,白色
【LACOSTE】女鞋-L002 絨面運動鞋(咖啡色),LACOSTE,"4,280",https://m.momoshop.com.tw/goods.momo?i_code=12214992&mdiv=searchEngine&oid=26_16&kw=%E5%A5%B3%E9%9E%8B,棕色/咖啡色
【PUMA官方旗艦】Electron 2.0 休閒運動鞋 男女共同 38566917,PUMA,"2,280",https://m.momoshop.com.tw/goods.momo?i_code=11504612&mdiv=searchEngine&oid=22_9&kw=%E5%A5%B3%E9%9E%8B,白色
SKECHERS 2023廣告主打奢華飛翔避震鞋,SKECHERS,"2,370",https://m.momoshop.com.tw/goods.momo?i_code=10978134&mdiv=searchEngine&oid=19_3&kw=%E5%A5%B3%E9%9E%8B,黑色白色
【K-SWISS】時尚運動鞋 Court Shield-男女-四款任選(快倉限定),K-SWISS,"1,980",https://m.momoshop.com.tw/goods.momo?i_code=11104631&mdiv=searchEngine&oid=27_18&kw=%E5%A5%B3%E9%9E%8B,白色橘色黃色棕色/咖啡色粉紅色
【NIKE 耐吉】休閒鞋 Air More Uptempo GS 女鞋 童鞋 大童 漆皮 麂皮 氣墊 大Air 單一價(FB1344-001),NIKE ,"3,280",https://m.momoshop.com.tw/goods.momo?i_code=11166990&mdiv=searchEngine&oid=19_11&kw=%E5%A5%B3%E9%9E%8B,黑色白色紅色
【T2R】正韓空運-預購-飛織真皮拼接方鑽造型內增高厚底懶人鞋-增高約8公分-黑/米白(5985-2635/5985-2636),T2R,"2,380",https://m.momoshop.com.tw/goods.momo?i_code=11408414&mdiv=searchEngine&oid=26_6&kw=%E5%A5%B3%E9%9E%8B,黑色米色
【NEW BALANCE】NB 復古鞋/運動鞋_男鞋/女鞋_銀灰白_M1906REE-D,NEW BALANCE,"4,680",https://m.momoshop.com.tw/goods.momo?i_code=12301528&mdiv=searchEngine&oid=9_10&kw=%E5%A5%B3%E9%9E%8B,白色銀色
